Date,HIGH,LOW,OPEN,CLOSE,VOLUME,DATE
2024-01-30,4843.0,4712.0,4743.0,4805,33961.0,2024-01-30
2024-01-31,4869.0,4770.0,4795.0,4822,25256.0,2024-01-31
2024-02-01,4981.0,4828.0,4832.0,4956,36184.0,2024-02-01
2024-02-02,5032.0,4939.0,4990.0,5009,37945.0,2024-02-02
2024-02-05,5249.0,5010.0,5035.0,5189,37591.0,2024-02-05
2024-02-06,5288.0,5133.0,5244.0,5220,36089.0,2024-02-06
2024-02-07,5429.0,5194.0,5219.0,5410,42231.0,2024-02-07
2024-02-08,5874.0,5451.0,5488.0,5805,37991.0,2024-02-08
2024-02-09,6030.0,5528.0,5900.0,5888,35319.0,2024-02-09
2024-02-12,5958.0,5773.0,5868.0,5860,16137.0,2024-02-12
2024-02-13,6029.0,5815.0,5828.0,6001,12137.0,2024-02-13
2024-02-14,6039.0,5812.0,6008.0,5949,9014.0,2024-02-14
2024-02-15,6030.0,5888.0,5956.0,5961,6096.0,2024-02-15
2024-02-16,5964.0,5689.0,5947.0,5706,10725.0,2024-02-16
2024-02-20,6069.0,5750.0,5750.0,5999,6822.0,2024-02-20
2024-02-21,6311.0,6022.0,6050.0,6198,2545.0,2024-02-21
2024-02-22,6340.0,5961.0,6336.0,6169,843.0,2024-02-22
2024-02-23,6750.0,6033.0,6033.0,6562,83.0,2024-02-23
2024-02-26,6929.0,6650.0,6765.0,6884,42.0,2024-02-26
2024-02-27,6893.0,6743.0,6780.0,6755,8.0,2024-02-27
2024-02-28,6590.0,6362.0,6590.0,6380,7.0,2024-02-28
2024-02-29,6466.0,6413.0,6413.0,6510,319.0,2024-02-29
2024-03-01,6769.0,6769.0,6769.0,6826,5.0,2024-03-01
2023-08-01,3578.0,3507.0,3551.0,3543,29107.0,2023-08-01
2023-08-02,3582.0,3530.0,3538.0,3562,28982.0,2023-08-02
2023-08-03,3559.0,3484.0,3550.0,3491,33437.0,2023-08-03
2023-08-04,3551.0,3485.0,3486.0,3510,39427.0,2023-08-04
2023-08-07,3652.0,3430.0,3498.0,3476,79742.0,2023-08-07
2023-08-08,3456.0,3266.0,3456.0,3333,44561.0,2023-08-08
2023-08-09,3368.0,3278.0,3342.0,3319,22758.0,2023-08-09
2023-08-10,3316.0,3237.0,3299.0,3282,22965.0,2023-08-10
2023-08-11,3311.0,3245.0,3264.0,3297,13733.0,2023-08-11
2023-08-14,3343.0,3293.0,3305.0,3321,6923.0,2023-08-14
2023-08-15,3376.0,3305.0,3308.0,3340,5144.0,2023-08-15
2023-08-16,3381.0,3324.0,3336.0,3372,7301.0,2023-08-16
2023-08-17,3440.0,3382.0,3382.0,3413,3819.0,2023-08-17
2023-08-18,3410.0,3354.0,3410.0,3366,3650.0,2023-08-18
2023-08-21,3409.0,3338.0,3355.0,3355,2056.0,2023-08-21
2023-08-22,3375.0,3311.0,3368.0,3329,3368.0,2023-08-22
2023-08-23,3347.0,3301.0,3328.0,3323,2122.0,2023-08-23
2023-08-24,3399.0,3298.0,3328.0,3363,4359.0,2023-08-24
2023-08-25,3440.0,3437.0,3439.0,3430,47.0,2023-08-25
2023-08-28,3465.0,3444.0,3465.0,3442,6.0,2023-08-28
2023-08-29,3549.0,3525.0,3525.0,3555,5.0,2023-08-29
2023-08-30,3576.0,3576.0,3576.0,3606,2.0,2023-08-30
2023-08-31,3633.0,3633.0,3633.0,3602,1.0,2023-08-31
2023-09-01,3626.0,3575.0,3626.0,3574,7.0,2023-09-01
2023-09-05,3638.0,3595.0,3638.0,3560,83.0,2023-09-05
2023-09-06,,,,3577,,2023-09-06
2023-09-07,3591.0,3565.0,3565.0,3573,6.0,2023-09-07
